schema_version,record_type,controller,metric,estimate,wilson_low,wilson_high,p05,p50,p95,units,notes
1.0,dumbbell_validation,constant,max_angle_deg,15.457219,0.000000,0.000000,0.000000,0.000000,0.000000,deg,"T4a eps=0.106 BOUNDED band [3.0,20.0] deg (T7=9.26 deg); PASS; lumped-mass RK4 gives ~15.5 deg vs the T7 1-DOF DOP853 9.26 deg - model-family offset, both bounded"
1.0,dumbbell_validation,constant,o45_orbit,0.191590,0.000000,0.000000,0.000000,0.000000,0.000000,orbit,"T4a eps=0.490 TUMBLE band o45 [0.15,0.30] orbit (T7=0.20); -1 = never; PASS"
1.0,dumbbell_validation,constant,o45_orbit,0.141346,0.000000,0.000000,0.000000,0.000000,0.000000,orbit,"T4a eps=0.800 TUMBLE band o45 [0.10,0.20] orbit (T7=0.14); -1 = never; PASS"
1.0,dumbbell_validation,n/a,t4b_status,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-,"T4b (3D pitch+roll pumping onset, o45 in [0.40,0.70] orbit, 80-deg event by orbit [3.5,5.5]) requires the Phase-2 out-of-plane model and is NOT attempted in this Phase-1 planar implementation -- stated up front, no overclaim."
1.0,controller_comparison,constant,diverged_angle_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"fraction hitting DivergeStatus::DivergedAngle (chord angle-from-vertical > 80 deg); Wilson 95% CI"
1.0,controller_comparison,constant,diverged_velocity_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"fraction hitting DivergeStatus::DivergedVelocity (any |v_i| > 10*n*L); Wilson 95% CI"
1.0,controller_comparison,constant,overstrain_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"fraction hitting DivergeStatus::Overstrain (any segment l_j/L0 > 1.5); Wilson 95% CI"
1.0,controller_comparison,constant,energy_spike_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"fraction hitting DivergeStatus::EnergySpike (recalibrated guard, tether.cpp -- genuine integrator blow-ups only); Wilson 95% CI"
1.0,controller_comparison,constant,nonconverged_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"combined fraction hitting ANY non-Ok status (sum of the four rows above); every non-Ok run is EXCLUDED from the amplitude/o45/eta/energy pools below, never silently mixed in -- see n_clean; Wilson 95% CI"
1.0,controller_comparison,constant,n_clean,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,count,"runs completing the full sim_orbits horizon at status==Ok; the max_angle/o45/eta_lib/energy_drift rows below are computed over ONLY these n_clean runs (n_clean = n_runs - n_nonconverged)"
1.0,controller_comparison,constant,max_angle_deg,10.153996,0.000000,0.000000,4.880367,9.263693,18.245678,deg,"peak chord angle-from-vertical over the run; CLEAN (status==Ok, n_clean) runs only -- truncated runs excluded, no silent corruption"
1.0,controller_comparison,constant,o45_never_crossed_rate,1.000000,0.981155,1.000000,0.000000,0.000000,0.000000,fraction,"fraction of CLEAN runs (denominator n_clean, NOT n_runs) that never reached 45 deg within sim_orbits; Wilson 95% CI"
1.0,controller_comparison,constant,eta_lib_effective,0.760491,0.000000,0.000000,0.520885,0.771011,0.982718,fraction,"time-average |I_applied|/I_cap actually delivered; CLEAN runs only; C2 gives duty_on=0.75 by construction, C1's is COMPUTED (the stability-per-unit-thrust headline)"
1.0,controller_comparison,constant,energy_drift_per_orbit,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,fraction,"last full-orbit |E_J drift - integrated (P_lorentz+P_damp)| / (mu*L^2*n^2); CLEAN runs only; sanity diagnostic, not a stability claim"
1.0,controller_comparison,c1_phase_gated,diverged_angle_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"fraction hitting DivergeStatus::DivergedAngle (chord angle-from-vertical > 80 deg); Wilson 95% CI"
1.0,controller_comparison,c1_phase_gated,diverged_velocity_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"fraction hitting DivergeStatus::DivergedVelocity (any |v_i| > 10*n*L); Wilson 95% CI"
1.0,controller_comparison,c1_phase_gated,overstrain_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"fraction hitting DivergeStatus::Overstrain (any segment l_j/L0 > 1.5); Wilson 95% CI"
1.0,controller_comparison,c1_phase_gated,energy_spike_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"fraction hitting DivergeStatus::EnergySpike (recalibrated guard, tether.cpp -- genuine integrator blow-ups only); Wilson 95% CI"
1.0,controller_comparison,c1_phase_gated,nonconverged_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"combined fraction hitting ANY non-Ok status (sum of the four rows above); every non-Ok run is EXCLUDED from the amplitude/o45/eta/energy pools below, never silently mixed in -- see n_clean; Wilson 95% CI"
1.0,controller_comparison,c1_phase_gated,n_clean,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000,count,"runs completing the full sim_orbits horizon at status==Ok; the max_angle/o45/eta_lib/energy_drift rows below are computed over ONLY these n_clean runs (n_clean = n_runs - n_nonconverged)"
